0,0,0
0,1,3716
0,2,3829
0,3,6690
0,4,7179
0,5,8305
0,6,7625
0,7,7027
0,8,7072
0,9,8875
0,10,9250
0,11,10718
0,12,10199
0,13,10562
0,14,10556
0,15,11746
0,16,12032
0,17,11900
0,18,12387
0,19,9592
0,20,8912
0,21,7527
0,22,6622
0,23,5261
0,24,8287
0,25,8048
0,26,10491
0,27,11113
0,28,11955
0,29,11022
0,30,10210
0,31,10006
0,32,12004
0,33,12551
0,34,13742
0,35,12937
0,36,12900
0,37,12710
0,38,14258
0,39,14722
0,40,15015
0,41,15603
0,42,13492
0,43,12777
0,44,12111
0,45,11300
0,46,9982
0,47,12987
0,48,12650
0,49,14849
0,50,15511
0,51,16186
0,52,15164
0,53,14291
0,54,13977
0,55,15954
0,56,16571
0,57,17548
0,58,16608
0,59,16322
0,60,16024
0,61,17712
0,62,18271
0,63,18826
0,64,19457
0,65,17809
0,66,17095
0,67,16787
0,68,16020
0,69,14722
0,70,19600
0,71,21652
0,72,22525
0,73,22674
0,74,11400
0,75,300
1,0,3716
1,1,0
1,2,1118
1,3,3621
1,4,3891
1,5,5206
1,6,4884
1,7,4650
1,8,4975
1,9,6248
1,10,6408
1,11,8009
1,12,7803
1,13,8500
1,14,8664
1,15,9414
1,16,9522
1,17,9031
1,18,9408
1,19,6180
1,20,5561
1,21,3833
1,22,3050
1,23,1931
1,24,4750
1,25,4366
1,26,6792
1,27,7403
1,28,8291
1,29,7410
1,30,6647
1,31,6524
1,32,8488
1,33,8985
1,34,10286
1,35,9588
1,36,9737
1,37,9638
1,38,11029
1,39,11416
1,40,11536
1,41,12092
1,42,9793
1,43,9081
1,44,8509
1,45,7800
1,46,6587
1,47,9500
1,48,9055
1,49,11147
1,50,11815
1,51,12470
1,52,11449
1,53,10577
1,54,10271
1,55,12255
1,56,12865
1,57,13878
1,58,12965
1,59,12748
1,60,12483
1,61,14134
1,62,14667
1,63,15158
1,64,15782
1,65,14098
1,66,13384
1,67,13238
1,68,12550
1,69,11322
1,70,16269
1,71,17937
1,72,18831
1,73,18986
1,74,10468
1,75,3606
2,0,3829
2,1,1118
2,2,0
2,3,2926
2,4,3360
2,5,4556
2,6,4049
2,7,3684
2,8,3950
2,9,5393
